event_id,ticker,t0_utc,direction,cluster_len,peak_abs_ret_3_bp,peak_z_ret_3,peak_volume_mult,peak_range_mult,peak_impact_mult,event_window_start,event_window_end,val_window_start,val_window_end,event_return,forward_return_60m,label_proxy
AAPL_20251016_132500,AAPL,2025-10-16 13:25:00+00:00,-1,3,115.56547639492098,5.326791844481974,1066.430788590604,19.031875118952424,0.1293819072861857,2025-10-16 13:05:00+00:00,2025-10-16 13:25:00+00:00,2025-10-16 13:30:00+00:00,2025-10-16 14:25:00+00:00,-0.007355983467526084,-0.0032217792275784918,continuation
AAPL_20251021_133000,AAPL,2025-10-21 13:30:00+00:00,1,5,111.14081656036223,5.0613246199543065,531.1460162601626,9.272536155204387,0.036649838385429456,2025-10-21 13:10:00+00:00,2025-10-21 13:30:00+00:00,2025-10-21 13:35:00+00:00,2025-10-21 14:30:00+00:00,0.0060751948647408405,0.000303824389502827,unclear
AAPL_20251027_080000,AAPL,2025-10-27 08:00:00+00:00,1,3,77.16373756651463,4.62896247648791,2.4531498147167814,9.5337197264137,81.02654528105407,2025-10-24 23:40:00+00:00,2025-10-27 08:00:00+00:00,2025-10-27 08:05:00+00:00,2025-10-27 09:00:00+00:00,0.0068797749819453635,-0.001321253303133152,unclear
AAPL_20251029_133500,AAPL,2025-10-29 13:35:00+00:00,1,1,73.96368236957107,4.071829281374336,328.8829239469908,9.008470590347395,0.03630545016868872,2025-10-29 13:15:00+00:00,2025-10-29 13:35:00+00:00,2025-10-29 13:40:00+00:00,2025-10-29 14:35:00+00:00,0.00642267657992579,-0.0035375028118661556,reversal
AAPL_20251030_150500,AAPL,2025-10-30 15:05:00+00:00,1,3,75.12086277427166,4.0307451497741695,35.97192189769243,2.5809606999376387,0.10646635986578416,2025-10-30 14:45:00+00:00,2025-10-30 15:05:00+00:00,2025-10-30 15:10:00+00:00,2025-10-30 16:05:00+00:00,0.00404738034235641,0.004289940828402505,continuation
AAPL_20251030_200500,AAPL,2025-10-30 20:05:00+00:00,1,19,475.49569771792477,5.776738940020808,5.5266388840905165,28.94603086759683,21.700402945096798,2025-10-30 19:45:00+00:00,2025-10-30 20:05:00+00:00,2025-10-30 20:10:00+00:00,2025-10-30 21:05:00+00:00,0.004314526950310649,0.044303332843928844,continuation
AAPL_20251031_133000,AAPL,2025-10-31 13:30:00+00:00,-1,9,258.8697133545681,5.856371472435643,281.8451266268485,10.262115316201756,0.06694703597870086,2025-10-31 13:10:00+00:00,2025-10-31 13:30:00+00:00,2025-10-31 13:35:00+00:00,2025-10-31 14:30:00+00:00,-0.016747703943814085,-0.008901098901098914,continuation
AAPL_20251103_143000,AAPL,2025-11-03 14:30:00+00:00,-1,5,111.21287452571238,6.101493885911368,582.3020452390627,10.083002769721855,0.04548897370949548,2025-11-03 14:10:00+00:00,2025-11-03 14:30:00+00:00,2025-11-03 14:35:00+00:00,2025-11-03 15:30:00+00:00,-0.003552792272676686,-0.003936861652739099,continuation
AAPL_20251106_151500,AAPL,2025-11-06 15:15:00+00:00,1,4,108.00096330190634,4.500911768090404,511.2758845235511,10.497479123451438,0.0436754181721002,2025-11-06 14:55:00+00:00,2025-11-06 15:15:00+00:00,2025-11-06 15:20:00+00:00,2025-11-06 16:15:00+00:00,0.006182832544889605,0.0005154449394351168,unclear
AAPL_20251110_142500,AAPL,2025-11-10 14:25:00+00:00,-1,8,118.5873605947907,5.478113240539298,909.9960784313726,36.12915810457327,0.38419584009601504,2025-11-10 14:05:00+00:00,2025-11-10 14:25:00+00:00,2025-11-10 14:30:00+00:00,2025-11-10 15:25:00+00:00,-0.003482255315996108,0.01062081784386626,reversal
AAPL_20251111_143500,AAPL,2025-11-11 14:35:00+00:00,1,9,124.35507783543854,6.5719268853516715,938.9822552947911,28.19692856504735,0.04472623695892046,2025-11-11 14:15:00+00:00,2025-11-11 14:35:00+00:00,2025-11-11 14:40:00+00:00,2025-11-11 15:35:00+00:00,0.004518888888888961,0.009622811878618132,continuation
AAPL_20251112_143000,AAPL,2025-11-12 14:30:00+00:00,-1,6,103.2399086588276,4.932031345349385,734.287456445993,25.470174921895783,0.04979751188560177,2025-11-12 14:10:00+00:00,2025-11-12 14:30:00+00:00,2025-11-12 14:35:00+00:00,2025-11-12 15:30:00+00:00,-0.008026731558493316,0.0005492091388399345,unclear
AAPL_20251113_142500,AAPL,2025-11-13 14:25:00+00:00,1,11,102.65532164600356,4.924604971197765,711.4939415538132,7.119544483458743,0.3418069480693197,2025-11-13 14:05:00+00:00,2025-11-13 14:25:00+00:00,2025-11-13 14:30:00+00:00,2025-11-13 15:25:00+00:00,0.006238532110091732,-0.0017140773158277334,unclear
AAPL_20251117_143000,AAPL,2025-11-17 14:30:00+00:00,-1,4,79.6489614986462,4.268936251444297,737.8314838709678,13.630918490945529,0.05428786178145509,2025-11-17 14:10:00+00:00,2025-11-17 14:30:00+00:00,2025-11-17 14:35:00+00:00,2025-11-17 15:30:00+00:00,-0.005394052044609743,0.004937413333632401,reversal
AAPL_20251119_142500,AAPL,2025-11-19 14:25:00+00:00,-1,9,148.77589453861083,6.506428550687235,448.02382843526607,18.20481515005378,0.09892849750057733,2025-11-19 14:05:00+00:00,2025-11-19 14:25:00+00:00,2025-11-19 14:30:00+00:00,2025-11-19 15:25:00+00:00,-0.0037523452157598447,0.023917137476459516,reversal
AAPL_20251120_143000,AAPL,2025-11-20 14:30:00+00:00,1,9,145.60017717407004,6.423444192292013,1210.9664816870145,15.63453306087073,0.029358719658066735,2025-11-20 14:10:00+00:00,2025-11-20 14:30:00+00:00,2025-11-20 14:35:00+00:00,2025-11-20 15:30:00+00:00,0.0089027911453321,0.006499844062448412,continuation
AAPL_20251121_142000,AAPL,2025-11-21 14:20:00+00:00,-1,9,146.35208991480297,4.670801884485515,958.1401374338177,7.870571206667127,0.39913442210751693,2025-11-21 14:00:00+00:00,2025-11-21 14:20:00+00:00,2025-11-21 14:25:00+00:00,2025-11-21 15:20:00+00:00,-0.003391127360446222,0.021972290792000138,reversal
AAPL_20251124_142500,AAPL,2025-11-24 14:25:00+00:00,-1,9,133.88905281793262,4.04678257087362,1221.5486362539223,40.582736031410285,0.1020410916212173,2025-11-24 14:05:00+00:00,2025-11-24 14:25:00+00:00,2025-11-24 14:30:00+00:00,2025-11-24 15:25:00+00:00,-0.004443138838908567,0.007284597226320466,reversal
AAPL_20251125_143000,AAPL,2025-11-25 14:30:00+00:00,1,3,201.23951877505596,6.218475025474709,877.1726976018164,20.216252717437296,0.028873189996248088,2025-11-25 14:10:00+00:00,2025-11-25 14:30:00+00:00,2025-11-25 14:35:00+00:00,2025-11-25 15:30:00+00:00,0.014607846708680983,0.0035189573459715184,continuation
AAPL_20251128_175000,AAPL,2025-11-28 17:50:00+00:00,1,3,66.42119702549465,4.753464546749917,22.21149037037037,4.7704138947322505,0.9176146735698152,2025-11-28 17:30:00+00:00,2025-11-28 17:50:00+00:00,2025-11-28 17:55:00+00:00,2025-11-28 21:50:00+00:00,0.005414771496642823,-0.0007898894154817482,unclear
AAPL_20251202_143000,AAPL,2025-12-02 14:30:00+00:00,1,6,62.01495446330085,4.868536730982814,519.0348517273005,14.662460437390177,0.05942045245256182,2025-12-02 14:10:00+00:00,2025-12-02 14:30:00+00:00,2025-12-02 14:35:00+00:00,2025-12-02 15:30:00+00:00,0.003434293397494903,0.0035769873895679094,continuation
